activity_id,activity_date,activity_type,topic,location_id,participants_count,public_event
97,2026-01-04,Community Outreach,Social Policy,3,18,Yes
98,2026-01-07,Community Outreach,Local Government,3,24,Yes
99,2026-01-09,Community Outreach,Transport,1,28,Yes
100,2026-01-12,Government Interaction,Education,5,13,No
101,2026-01-13,Community Outreach,Economic Policy,7,20,Yes
102,2026-01-18,Public Event,Gender Equality,3,24,Yes
103,2026-01-24,Media Activity,Social Policy,4,44,Yes
104,2026-01-26,Meeting,Local Government,9,23,No
105,2026-01-29,Survey,Economic Policy,6,24,No
106,2026-01-30,Community Outreach,Youth Policy,1,11,Yes
107,2026-02-03,Meeting,Entrepreneurship,9,13,No
108,2026-02-17,Media Activity,Local Government,1,20,Yes
109,2026-02-28,Educational Event,Youth Policy,4,6,No
110,2026-03-02,Meeting,Entrepreneurship,1,35,No
111,2026-03-09,Survey,Social Policy,2,29,No
112,2026-03-13,Educational Event,Healthcare,3,5,No
113,2026-03-17,Campaign Activity,Housing,4,26,Yes
114,2026-03-18,Meeting,Economic Policy,9,8,No
115,2026-03-23,Public Event,Youth Policy,2,22,Yes
116,2026-03-29,Media Activity,Entrepreneurship,1,8,Yes
117,2026-04-02,Campaign Activity,Transport,4,15,Yes
118,2026-04-06,Government Interaction,Transport,8,23,No
119,2026-04-09,Public Event,Housing,1,45,Yes
120,2026-04-11,Meeting,Education,3,12,No
121,2026-04-14,Campaign Activity,Housing,3,11,Yes
122,2026-04-15,Meeting,Gender Equality,9,23,No
123,2026-04-18,Public Event,Social Policy,8,34,Yes
124,2026-04-19,Media Activity,Healthcare,8,23,Yes
125,2026-04-22,Campaign Activity,Entrepreneurship,2,28,Yes
126,2026-04-24,Meeting,Youth Policy,2,11,No
127,2026-05-01,Community Outreach,Education,5,18,Yes
128,2026-05-03,Public Event,Transport,7,19,Yes
129,2026-05-04,Media Activity,Local Government,5,16,Yes
130,2026-05-05,Educational Event,Gender Equality,5,13,No
131,2026-05-09,Government Interaction,Economic Policy,1,24,No
132,2026-05-11,Campaign Activity,Healthcare,9,10,Yes
133,2026-05-15,Community Outreach,Social Policy,7,19,Yes
134,2026-05-16,Survey,Economic Policy,3,21,No
135,2026-05-17,Community Outreach,Healthcare,8,18,Yes
136,2026-05-18,Community Outreach,Gender Equality,7,24,Yes
137,2026-05-21,Campaign Activity,Education,4,29,Yes
138,2026-05-29,Campaign Activity,Entrepreneurship,1,31,Yes
139,2026-05-31,Survey,Local Government,1,24,No
140,2026-06-02,Government Interaction,Youth Policy,9,27,No
141,2026-06-06,Meeting,Local Government,3,20,No
142,2026-06-09,Campaign Activity,Gender Equality,1,15,Yes
143,2026-06-13,Meeting,Entrepreneurship,2,13,No
144,2026-06-15,Community Outreach,Economic Policy,1,29,Yes
145,2026-06-17,Educational Event,Social Policy,3,18,No
146,2026-06-19,Public Event,Youth Policy,6,35,Yes
147,2026-06-24,Meeting,Local Government,6,29,No
148,2026-06-26,Government Interaction,Transport,4,20,No
149,2026-06-27,Campaign Activity,Transport,9,14,Yes
150,2026-06-30,Meeting,Local Government,1,28,No
